id,category,name,calories,moisture,amino_acid_composition_protein,protein,triacylglycerol,cholesterol,fat,available_carbohydrates,carbohydrates,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB3,vitaminB6,vitaminB12,vitaminB9,vitaminB5,vitaminB7,vitaminC
96,6,じゅうろくささげ,28.0,90.2,2.0,2.8,0.0,0.0,0.1,2.5,6.2,1.0,180.0,33.0,32.0,56.0,0.5,0.6,0.11,0.63,0.0,1.0,0.0,67.0,93.0,0.0,0.3,130.0,0.09,0.09,0.9,0.07,0.0,150.0,0.39,9.0,16.0
97,6,しゅんぎく,25.0,91.1,2.2,2.7,0.2,0.0,0.5,1.6,4.5,42.0,270.0,120.0,24.0,44.0,1.2,0.2,0.12,0.49,0.0,0.0,0.0,0.0,440.0,0.0,2.0,460.0,0.05,0.08,0.4,0.06,0.0,100.0,0.13,0.0,5.0
98,6,葉しょうが,9.0,96.3,0.4,0.5,0.1,0.0,0.2,0.7,2.1,5.0,310.0,15.0,21.0,21.0,0.4,0.4,0.05,4.73,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.02,0.03,0.3,0.08,0.0,14.0,0.07,0.0,3.0
99,6,しろうり,15.0,95.3,0.6,0.9,0.0,0.0,0.1,2.5,3.3,1.0,220.0,35.0,12.0,20.0,0.2,0.2,0.03,0.05,5.0,0.0,0.0,2.0,6.0,0.0,0.2,29.0,0.03,0.03,0.2,0.04,0.0,39.0,0.3,1.3,8.0
100,6,生ずいき,15.0,94.5,0.2,0.5,0.0,0.0,0.0,2.8,4.1,1.0,390.0,80.0,6.0,13.0,0.1,1.0,0.03,2.24,0.0,0.0,0.0,0.0,9.0,0.0,0.4,9.0,0.01,0.02,0.2,0.03,0.0,14.0,0.28,0.0,5.0
101,6,すいぜんじな,16.0,93.1,0.0,0.6,0.0,0.0,0.6,0.0,3.4,1.0,530.0,140.0,42.0,42.0,0.5,0.5,0.07,2.11,3.0,0.0,1.0,8.0,350.0,0.0,3.8,270.0,0.06,0.12,0.5,0.08,0.0,66.0,0.03,4.7,17.0
102,6,すぐきな,23.0,90.5,1.7,1.9,0.1,0.0,0.2,1.7,5.4,32.0,680.0,150.0,18.0,58.0,2.6,0.3,0.06,0.3,0.0,0.0,0.0,0.0,170.0,0.0,3.8,280.0,0.08,0.13,1.1,0.05,0.0,200.0,0.35,0.0,73.0
103,6,すぐきな,19.0,93.7,0.5,0.6,0.1,0.0,0.1,3.1,4.7,26.0,310.0,26.0,8.0,35.0,0.1,0.1,0.03,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.7,0.01,0.0,50.0,0.26,0.0,13.0
104,6,ズッキーニ,16.0,94.9,0.9,1.3,0.1,0.0,0.1,1.9,2.8,1.0,320.0,24.0,25.0,37.0,0.5,0.4,0.07,0.15,0.0,0.0,1.0,6.0,27.0,0.0,0.4,35.0,0.05,0.05,0.4,0.09,0.0,36.0,0.22,2.7,20.0
105,6,せり,17.0,93.4,1.9,2.0,0.1,0.0,0.1,1.0,3.3,19.0,410.0,34.0,24.0,51.0,1.6,0.3,0.15,1.24,0.0,0.0,0.0,0.0,160.0,0.0,0.7,160.0,0.04,0.13,1.2,0.11,0.0,110.0,0.42,0.0,20.0
106,6,セロリ,12.0,94.7,0.4,0.4,0.1,0.0,0.1,1.1,3.6,28.0,410.0,39.0,9.0,39.0,0.2,0.2,0.03,0.11,1.0,0.0,0.0,2.0,4.0,0.0,0.2,10.0,0.03,0.03,0.0,0.08,0.0,29.0,0.26,1.2,7.0
107,6,生ぜんまい,17.0,94.2,0.8,1.1,0.0,0.0,0.4,0.9,4.1,2.0,38.0,19.0,9.0,20.0,0.3,0.4,0.1,0.22,0.0,0.0,0.0,0.0,36.0,0.0,0.5,34.0,0.01,0.05,0.7,0.0,0.0,59.0,0.12,0.0,2.0
108,6,そらまめ,103.0,71.3,7.8,10.5,0.1,0.0,0.2,15.7,16.9,4.0,390.0,22.0,38.0,230.0,2.1,1.9,0.33,0.38,0.0,0.0,0.0,0.0,18.0,0.0,0.0,19.0,0.22,0.18,1.2,0.13,0.0,120.0,0.39,0.0,18.0
109,6,タアサイ,11.0,95.0,0.9,1.1,0.1,0.0,0.2,0.5,2.3,23.0,320.0,110.0,18.0,43.0,0.6,0.4,0.04,0.32,0.0,0.0,0.0,0.0,200.0,0.0,1.7,230.0,0.02,0.03,0.4,0.05,0.0,42.0,0.09,0.0,14.0
110,6,だいこん,15.0,94.6,0.4,0.5,0.0,0.0,0.1,2.9,4.1,19.0,230.0,24.0,10.0,18.0,0.2,0.2,0.02,0.04,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.02,0.01,0.3,0.04,0.0,34.0,0.12,0.3,12.0
